name;bus;capacity;carrier;marginal_cost;output_parameters;profile;tech;type
AT-gas-gt;AT-electricity;6030;gas;122.94999999999999;{};0.8;gt;dispatchable
AT-oil-ocgt;AT-electricity;196;oil;297.3771428571429;{};0.75;ocgt;dispatchable
AT-others-non-res;AT-electricity;990;other;0.0;{};0.85;other;dispatchable
BE-gas-gt;BE-electricity;6840;gas;122.94999999999999;{};0.8;gt;dispatchable
BE-others-non-res;BE-electricity;3200;other;0.0;{};0.85;other;dispatchable
CH-others-non-res;CH-electricity;990;other;0.0;{};0.85;other;dispatchable
CH-uranium-st;CH-electricity;1145;uranium;14.127272727272727;{};0.8;st;dispatchable
CZ-coal-st;CZ-electricity;310;coal;99.25499999999998;{};0.75;st;dispatchable
CZ-gas-gt;CZ-electricity;1990;gas;122.94999999999999;{};0.8;gt;dispatchable
CZ-lignite-st;CZ-electricity;4424;lignite;97.49999999999999;{};0.75;st;dispatchable
CZ-uranium-st;CZ-electricity;1880;uranium;14.127272727272727;{};0.8;st;dispatchable
DK-coal-st;DK-electricity;410;coal;99.25499999999998;{};0.75;st;dispatchable
DK-gas-gt;DK-electricity;3746;gas;122.94999999999999;{};0.8;gt;dispatchable
DK-oil-ocgt;DK-electricity;735;oil;297.3771428571429;{};0.75;ocgt;dispatchable
FR-coal-st;FR-electricity;1740;coal;99.25499999999998;{};0.75;st;dispatchable
FR-gas-gt;FR-electricity;14051;gas;122.94999999999999;{};0.8;gt;dispatchable
FR-oil-ocgt;FR-electricity;819;oil;297.3771428571429;{};0.75;ocgt;dispatchable
FR-others-non-res;FR-electricity;5400;other;0.0;{};0.85;other;dispatchable
FR-uranium-st;FR-electricity;37646;uranium;14.127272727272727;{};0.8;st;dispatchable
IT-coal-st;IT-electricity;5667;coal;99.25499999999998;{};0.75;st;dispatchable
IT-gas-gt;IT-electricity;37993;gas;122.94999999999999;{};0.8;gt;dispatchable
IT-oil-ocgt;IT-electricity;1386;oil;297.3771428571429;{};0.75;ocgt;dispatchable
IT-others-non-res;IT-electricity;10160;other;0.0;{};0.85;other;dispatchable
NL-gas-gt;NL-electricity;9358;gas;122.94999999999999;{};0.8;gt;dispatchable
NL-others-non-res;NL-electricity;5080;other;0.0;{};0.85;other;dispatchable
NL-uranium-st;NL-electricity;486;uranium;14.127272727272727;{};0.8;st;dispatchable
NO-gas-gt;NO-electricity;855;gas;122.94999999999999;{};0.8;gt;dispatchable
PL-coal-st;PL-electricity;5389;coal;99.25499999999998;{};0.75;st;dispatchable
PL-gas-gt;PL-electricity;1911;gas;122.94999999999999;{};0.8;gt;dispatchable
PL-lignite-st;PL-electricity;6571;lignite;97.49999999999999;{};0.75;st;dispatchable
PL-others-non-res;PL-electricity;9860;other;0.0;{};0.85;other;dispatchable
SE-gas-gt;SE-electricity;950;gas;122.94999999999999;{};0.8;gt;dispatchable
SE-oil-ocgt;SE-electricity;660;oil;297.3771428571429;{};0.75;ocgt;dispatchable
SE-uranium-st;SE-electricity;7142;uranium;14.127272727272727;{};0.8;st;dispatchable
