name;balanced;carrier;geometry;type
AT-electricity;True;electricity;AT-electricity;bus
BE-electricity;True;electricity;BE-electricity;bus
CH-electricity;True;electricity;CH-electricity;bus
CZ-electricity;True;electricity;CZ-electricity;bus
DE-electricity;True;electricity;DE-electricity;bus
DK-electricity;True;electricity;DK-electricity;bus
FR-electricity;True;electricity;FR-electricity;bus
NO-electricity;True;electricity;NO-electricity;bus
PL-electricity;True;electricity;PL-electricity;bus
SE-electricity;True;electricity;SE-electricity;bus
AT-biomass-bus;True;biomass;;bus
BE-biomass-bus;True;biomass;;bus
CH-biomass-bus;True;biomass;;bus
CZ-biomass-bus;True;biomass;;bus
DE-biomass-bus;True;biomass;;bus
DK-biomass-bus;True;biomass;;bus
FR-biomass-bus;True;biomass;;bus
NO-biomass-bus;True;biomass;;bus
PL-biomass-bus;True;biomass;;bus
SE-biomass-bus;True;biomass;;bus
