name;bus;capacity;carrier;marginal_cost;output_parameters;tech;type
AT-gas-gt;AT-electricity;6030.0;gas;75.2;{"max": 0.85};gt;dispatchable
AT-oil-st;AT-electricity;196.0;oil;156.94285714285715;{"max": 0.85};st;dispatchable
AT-others-non-res;AT-electricity;990.0;other;0.0;{"summed_max": 2000};other;dispatchable
BE-gas-gt;BE-electricity;6840.0;gas;75.2;{"max": 0.85};gt;dispatchable
BE-others-non-res;BE-electricity;3200.0;other;0.0;{"summed_max": 2000};other;dispatchable
CH-others-non-res;CH-electricity;990.0;other;0.0;{"summed_max": 2000};other;dispatchable
CH-uranium-st;CH-electricity;1145.0;uranium;4.8571428571428585;{"max": 0.85};st;dispatchable
CZ-coal-st;CZ-electricity;310.0;coal;36.844444444444434;{"max": 0.85};st;dispatchable
CZ-gas-gt;CZ-electricity;1990.0;gas;75.2;{"max": 0.85};gt;dispatchable
CZ-lignite-st;CZ-electricity;4424.0;lignite;27.0;{"max": 0.85};st;dispatchable
CZ-uranium-st;CZ-electricity;1880.0;uranium;4.8571428571428585;{"max": 0.85};st;dispatchable
DK-coal-st;DK-electricity;410.0;coal;36.844444444444434;{"max": 0.85};st;dispatchable
DK-gas-gt;DK-electricity;3746.0;gas;75.2;{"max": 0.85};gt;dispatchable
DK-oil-st;DK-electricity;735.0;oil;156.94285714285715;{"max": 0.85};st;dispatchable
FR-coal-st;FR-electricity;1740.0;coal;36.844444444444434;{"max": 0.85};st;dispatchable
FR-gas-gt;FR-electricity;14051.0;gas;75.2;{"max": 0.85};gt;dispatchable
FR-oil-st;FR-electricity;819.0;oil;156.94285714285715;{"max": 0.85};st;dispatchable
FR-others-non-res;FR-electricity;5400.0;other;0.0;{"summed_max": 2000};other;dispatchable
FR-uranium-st;FR-electricity;37646.0;uranium;4.8571428571428585;{"max": 0.85};st;dispatchable
NO-gas-gt;NO-electricity;855.0;gas;75.2;{"max": 0.85};gt;dispatchable
PL-coal-st;PL-electricity;5389.0;coal;36.844444444444434;{"max": 0.85};st;dispatchable
PL-gas-gt;PL-electricity;1911.0;gas;75.2;{"max": 0.85};gt;dispatchable
PL-lignite-st;PL-electricity;6571.0;lignite;27.0;{"max": 0.85};st;dispatchable
PL-others-non-res;PL-electricity;9860.0;other;0.0;{"summed_max": 2000};other;dispatchable
SE-gas-gt;SE-electricity;950.0;gas;75.2;{"max": 0.85};gt;dispatchable
SE-oil-st;SE-electricity;660.0;oil;156.94285714285715;{"max": 0.85};st;dispatchable
SE-uranium-st;SE-electricity;7142.0;uranium;4.8571428571428585;{"max": 0.85};st;dispatchable
DE-coal-ccgt-0.0;DE-electricity;64.0;coal;45.409753645047765;{"max": 0.95};ccgt;dispatchable
DE-coal-ccgt-1.0;DE-electricity;66.0;coal;46.03465851172273;{"max": 0.95};ccgt;dispatchable
DE-coal-st-0.0;DE-electricity;2134.3;coal;55.543559959002394;{"max": 0.95};st;dispatchable
DE-coal-st-1.0;DE-electricity;10525.400000000001;coal;51.54212823094998;{"max": 0.95};st;dispatchable
DE-gas-ccgt-0.0;DE-electricity;2324.1099999999997;gas;78.56734407956208;{"max": 0.95};ccgt;dispatchable
DE-gas-ccgt-1.0;DE-electricity;14827.8;gas;77.37012501247725;{"max": 0.95};ccgt;dispatchable
DE-gas-ocgt-0.0;DE-electricity;153.39999999999998;gas;111.12769981088881;{"max": 0.95};ocgt;dispatchable
DE-gas-ocgt-1.0;DE-electricity;1035.1;gas;111.01996171725459;{"max": 0.95};ocgt;dispatchable
DE-gas-st-0.0;DE-electricity;761.9200000000002;gas;105.19732315967225;{"max": 0.95};st;dispatchable
DE-gas-st-1.0;DE-electricity;3746.4999999999995;gas;107.26575730652188;{"max": 0.95};st;dispatchable
DE-lignite-st-0.0;DE-electricity;456.90000000000003;lignite;45.21701262882857;{"max": 0.95};st;dispatchable
DE-lignite-st-1.0;DE-electricity;8899.8;lignite;45.52967102156462;{"max": 0.95};st;dispatchable
DE-oil-st-0.0;DE-electricity;1266.1;oil;152.6571604251457;{"max": 0.95};st;dispatchable
DE-waste-chp-0.0;DE-electricity;2797.3999999999996;waste;92.44606060606083;{"max": 0.95, "summed_max": 2500};chp;dispatchable
