name;bus;capacity;carrier;profile;tech;type
AT-solar-pv;AT-electricity;3000;solar;AT-pv-profile;pv;volatile
AT-wind-onshore;AT-electricity;4750;wind;AT-onshore-profile;onshore;volatile
BE-solar-pv;BE-electricity;4925;solar;BE-pv-profile;pv;volatile
BE-wind-onshore;BE-electricity;7518;wind;BE-onshore-profile;onshore;volatile
CH-solar-pv;CH-electricity;3692;solar;CH-pv-profile;pv;volatile
CH-wind-onshore;CH-electricity;295;wind;CH-onshore-profile;onshore;volatile
CZ-solar-pv;CZ-electricity;3690;solar;CZ-pv-profile;pv;volatile
CZ-wind-onshore;CZ-electricity;880;wind;CZ-onshore-profile;onshore;volatile
DK-solar-pv;DK-electricity;1405;solar;DK-pv-profile;pv;volatile
DK-wind-onshore;DK-electricity;12825;wind;DK-onshore-profile;onshore;volatile
FR-solar-pv;FR-electricity;18200;solar;FR-pv-profile;pv;volatile
FR-wind-onshore;FR-electricity;44851;wind;FR-onshore-profile;onshore;volatile
NO-wind-onshore;NO-electricity;2495;wind;NO-onshore-profile;onshore;volatile
PL-solar-pv;PL-electricity;2750;solar;PL-pv-profile;pv;volatile
PL-wind-onshore;PL-electricity;9950;wind;PL-onshore-profile;onshore;volatile
SE-solar-pv;SE-electricity;500;solar;SE-pv-profile;pv;volatile
SE-wind-onshore;SE-electricity;9620;wind;SE-onshore-profile;onshore;volatile
DE-solar-pv;DE-electricity;104500;solar;DE-pv-profile;pv;volatile
DE-wind-offshore;DE-electricity;17000;wind;DE-offshore-profile;offshore;volatile
DE-wind-onshore;DE-electricity;85500;wind;DE-onshore-profile;onshore;volatile
