name;amount;bus;carrier;tech;type
AT-biomass-commodity;23611111.1111111;AT-biomass-bus;biomass;commodity;commodity
BE-biomass-commodity;8083333.333333334;BE-biomass-bus;biomass;commodity;commodity
CH-biomass-commodity;0.0;CH-biomass-bus;biomass;commodity;commodity
CZ-biomass-commodity;32777777.77777778;CZ-biomass-bus;biomass;commodity;commodity
DE-biomass-commodity;150166666.6666666;DE-biomass-bus;biomass;commodity;commodity
DK-biomass-commodity;13555555.555555562;DK-biomass-bus;biomass;commodity;commodity
FR-biomass-commodity;149555555.55555558;FR-biomass-bus;biomass;commodity;commodity
IT-biomass-commodity;39416666.666666694;IT-biomass-bus;biomass;commodity;commodity
NL-biomass-commodity;2805555.5555555546;NL-biomass-bus;biomass;commodity;commodity
NO-biomass-commodity;0.0;NO-biomass-bus;biomass;commodity;commodity
PL-biomass-commodity;71361111.1111111;PL-biomass-bus;biomass;commodity;commodity
SE-biomass-commodity;86750000.0;SE-biomass-bus;biomass;commodity;commodity
