name;bus;capacity;carrier;marginal_cost;output_parameters;profile;tech;type
AT-gas-gt;AT-electricity;6030.0;gas;122.95;{};0.8;gt;dispatchable
AT-oil-ocgt;AT-electricity;196.0;oil;297.37714285714287;{};0.75;ocgt;dispatchable
AT-others-non-res;AT-electricity;990.0;other;0.0;{};0.85;other;dispatchable
BE-gas-gt;BE-electricity;6840.0;gas;122.95;{};0.8;gt;dispatchable
BE-others-non-res;BE-electricity;3200.0;other;0.0;{};0.85;other;dispatchable
CH-others-non-res;CH-electricity;990.0;other;0.0;{};0.85;other;dispatchable
CH-uranium-st;CH-electricity;1145.0;uranium;14.127272727272727;{};0.8;st;dispatchable
CZ-coal-st;CZ-electricity;310.0;coal;99.25499999999998;{};0.75;st;dispatchable
CZ-gas-gt;CZ-electricity;1990.0;gas;122.95;{};0.8;gt;dispatchable
CZ-lignite-st;CZ-electricity;4424.0;lignite;97.5;{};0.75;st;dispatchable
CZ-uranium-st;CZ-electricity;1880.0;uranium;14.127272727272727;{};0.8;st;dispatchable
DK-coal-st;DK-electricity;410.0;coal;99.25499999999998;{};0.75;st;dispatchable
DK-gas-gt;DK-electricity;3746.0;gas;122.95;{};0.8;gt;dispatchable
DK-oil-ocgt;DK-electricity;735.0;oil;297.37714285714287;{};0.75;ocgt;dispatchable
FR-coal-st;FR-electricity;1740.0;coal;99.25499999999998;{};0.75;st;dispatchable
FR-gas-gt;FR-electricity;14051.0;gas;122.95;{};0.8;gt;dispatchable
FR-oil-ocgt;FR-electricity;819.0;oil;297.37714285714287;{};0.75;ocgt;dispatchable
FR-others-non-res;FR-electricity;5400.0;other;0.0;{};0.85;other;dispatchable
FR-uranium-st;FR-electricity;37646.0;uranium;14.127272727272727;{};0.8;st;dispatchable
IT-coal-st;IT-electricity;5667.0;coal;99.25499999999998;{};0.75;st;dispatchable
IT-gas-gt;IT-electricity;37993.0;gas;122.95;{};0.8;gt;dispatchable
IT-oil-ocgt;IT-electricity;1386.0;oil;297.37714285714287;{};0.75;ocgt;dispatchable
IT-others-non-res;IT-electricity;10160.0;other;0.0;{};0.85;other;dispatchable
NL-gas-gt;NL-electricity;9358.0;gas;122.95;{};0.8;gt;dispatchable
NL-others-non-res;NL-electricity;5080.0;other;0.0;{};0.85;other;dispatchable
NL-uranium-st;NL-electricity;486.0;uranium;14.127272727272727;{};0.8;st;dispatchable
NO-gas-gt;NO-electricity;855.0;gas;122.95;{};0.8;gt;dispatchable
PL-coal-st;PL-electricity;5389.0;coal;99.25499999999998;{};0.75;st;dispatchable
PL-gas-gt;PL-electricity;1911.0;gas;122.95;{};0.8;gt;dispatchable
PL-lignite-st;PL-electricity;6571.0;lignite;97.5;{};0.75;st;dispatchable
PL-others-non-res;PL-electricity;9860.0;other;0.0;{};0.85;other;dispatchable
SE-gas-gt;SE-electricity;950.0;gas;122.95;{};0.8;gt;dispatchable
SE-oil-ocgt;SE-electricity;660.0;oil;297.37714285714287;{};0.75;ocgt;dispatchable
SE-uranium-st;SE-electricity;7142.0;uranium;14.127272727272727;{};0.8;st;dispatchable
DE-coal-ccgt-0.0;DE-electricity;97.0;coal;83.82503770739065;{};0.75;ccgt;dispatchable
DE-coal-st-0.0;DE-electricity;9063.8;coal;95.1872596153846;{};0.75;st;dispatchable
DE-gas-ccgt-0.0;DE-electricity;17143.21;gas;93.96927677227117;{};0.8;ccgt;dispatchable
DE-gas-ocgt-0.0;DE-electricity;1188.5;gas;137.17658094270305;{};0.8;ocgt;dispatchable
DE-gas-st-0.0;DE-electricity;4485.119999999999;gas;131.15475873563358;{};0.8;st;dispatchable
DE-lignite-st-0.0;DE-electricity;9175.6;lignite;104.35446906035139;{};0.75;st;dispatchable
DE-oil-st-0.0;DE-electricity;982.5;oil;278.089240524739;{};0.75;st;dispatchable
DE-waste-chp-0.0;DE-electricity;2797.4;waste;99.4515151515154;{};0.8;chp;dispatchable
