name;bus;capacity;carrier;profile;tech;type
AT-solar-pv;AT-electricity;3000.0;solar;AT-pv-profile;pv;volatile
AT-wind-onshore;AT-electricity;4750.0;wind;AT-onshore-profile;onshore;volatile
BE-solar-pv;BE-electricity;4925.0;solar;BE-pv-profile;pv;volatile
BE-wind-onshore;BE-electricity;7518.0;wind;BE-onshore-profile;onshore;volatile
CH-solar-pv;CH-electricity;3692.0;solar;CH-pv-profile;pv;volatile
CH-wind-onshore;CH-electricity;295.0;wind;CH-onshore-profile;onshore;volatile
CZ-solar-pv;CZ-electricity;3690.0;solar;CZ-pv-profile;pv;volatile
CZ-wind-onshore;CZ-electricity;880.0;wind;CZ-onshore-profile;onshore;volatile
DK-solar-pv;DK-electricity;1405.0;solar;DK-pv-profile;pv;volatile
DK-wind-onshore;DK-electricity;12825.0;wind;DK-onshore-profile;onshore;volatile
FR-solar-pv;FR-electricity;18200.0;solar;FR-pv-profile;pv;volatile
FR-wind-onshore;FR-electricity;44851.0;wind;FR-onshore-profile;onshore;volatile
IT-solar-pv;IT-electricity;42169.0;solar;IT-pv-profile;pv;volatile
IT-wind-onshore;IT-electricity;23459.0;wind;IT-onshore-profile;onshore;volatile
NL-solar-pv;NL-electricity;9700.0;solar;NL-pv-profile;pv;volatile
NL-wind-onshore;NL-electricity;9995.0;wind;NL-onshore-profile;onshore;volatile
NO-wind-onshore;NO-electricity;2495.0;wind;NO-onshore-profile;onshore;volatile
PL-solar-pv;PL-electricity;2750.0;solar;PL-pv-profile;pv;volatile
PL-wind-onshore;PL-electricity;9950.0;wind;PL-onshore-profile;onshore;volatile
SE-solar-pv;SE-electricity;500.0;solar;SE-pv-profile;pv;volatile
SE-wind-onshore;SE-electricity;9620.0;wind;SE-onshore-profile;onshore;volatile
DE-coal-chp;DE-electricity;26.5;coal;DE-coal-chp-profile;bp;volatile
DE-gas-chp;DE-electricity;7225.700000000002;gas;DE-gas-chp-profile;bp;volatile
DE-lignite-chp;DE-electricity;84.1;lignite;DE-lignite-chp-profile;bp;volatile
DE-oil-chp;DE-electricity;370.3;oil;DE-oil-chp-profile;bp;volatile
DE-other-non-res-chp;DE-electricity;637.9;other-non-res;DE-other-non-res-chp-profile;bp;volatile
DE-waste-chp;DE-electricity;83.4;waste;DE-waste-chp-profile;bp;volatile
DE-solar-pv;DE-electricity;104500.0;solar;DE-pv-profile;pv;volatile
DE-wind-offshore;DE-electricity;17000.0;wind;DE-offshore-profile;offshore;volatile
DE-wind-onshore;DE-electricity;85500.0;wind;DE-onshore-profile;onshore;volatile
