timeindex,NO-electricity-shortage,NO-gas-gt,NO-hydro-ror,NO-wind-onshore,NO-hydro-phs,NO-hydro-reservoir,import,NO-electricity-load,NO-electricity-excess
2030-01-01 00:00:00,0.0,0.0,1152.3950494797316,1497.18962,0.0,7719.33475009,7495.0,17863.91941956991,0.0
2030-01-01 01:00:00,0.0,0.0,1151.0056186237375,1522.426545,0.0,7431.33874843,7495.0,17599.770912057294,0.0
2030-01-01 02:00:00,0.0,0.0,1149.625634088267,1436.204335,0.0,7261.80522769,7495.0,17342.635196779527,0.0
2030-01-01 03:00:00,0.0,0.0,1148.2553859620932,1305.6609449999999,0.0,10833.920748,3800.0,17087.837078913377,0.0
2030-01-01 04:00:00,0.0,0.0,1146.8951643339892,1181.554655,0.0,7207.11612299,7495.0,17030.565942328783,0.0
2030-01-01 05:00:00,0.0,0.0,1145.54525929273,1128.975025,0.0,11029.6799765,3800.0,17104.20026079469,0.0
2030-01-01 06:00:00,0.0,0.0,1144.2059609270882,1090.8813650000002,0.0,7534.23835756,7495.0,17264.325683490388,0.0
2030-01-01 07:00:00,0.0,0.0,1142.877559325837,1117.488045,0.0,7678.43589151,7495.0,17433.80149583255,0.0
2030-01-01 08:00:00,0.0,0.0,1141.5603445777504,1174.818155,0.0,8003.45137435,7495.0,17814.82987392597,0.0
2030-01-01 09:00:00,0.0,0.0,1140.254606771602,1157.02132,0.0,8419.94550713,7495.0,18212.221433900697,0.0
2030-01-01 10:00:00,0.0,0.0,1138.9606359961654,1167.4254700000001,0.0,12602.5747779,3800.0,18708.960883869113,0.0
2030-01-01 11:00:00,0.0,0.0,1137.6787223402139,1158.6405750000001,0.0,9113.9997691,7495.0,18905.31906644486,0.0
2030-01-01 12:00:00,0.0,0.0,1136.4091558925209,1184.0446650000001,0.0,9155.31797308,7495.0,18970.77179397011,0.0
2030-01-01 13:00:00,0.0,0.0,1135.1522267418604,1153.66804,0.0,12949.7418522,3800.0,19038.562118906975,0.0
2030-01-01 14:00:00,0.0,0.0,1133.9082249770058,1112.1213,0.0,9558.17470533,7495.0,19299.204230302163,0.0
2030-01-01 15:00:00,0.0,0.0,1132.6774406867303,1104.538995,0.0,10020.4816925,7495.0,19752.698128155684,0.0
2030-01-01 16:00:00,0.0,0.0,1131.460163959808,1116.709605,0.0,13665.9580019,3800.0,19714.127770864015,0.0
2030-01-01 17:00:00,0.0,0.0,1130.256684885012,1066.719785,0.0,9939.16659287,7495.0,19631.143062751646,0.0
2030-01-01 18:00:00,0.0,0.0,1129.0672935511163,1058.536185,0.0,9648.15831681,7495.0,19330.761795358983,0.0
2030-01-01 19:00:00,0.0,0.0,1127.8922800468938,1033.501355,0.0,13008.2093602,3800.0,18969.6029952643,0.0
2030-01-01 20:00:00,0.0,0.0,1126.7319344611185,1017.3686849999999,0.0,8985.70675759,7495.0,18624.807377050933,0.0
2030-01-01 21:00:00,0.0,0.0,1125.5865468825637,1003.980515,0.0,8549.08401473,7495.0,18173.651076609032,0.0
2030-01-01 22:00:00,0.0,0.0,1124.4564074000036,1004.9560600000001,0.0,8137.82146476,7495.0,17762.23393216461,0.0
2030-01-01 23:00:00,0.0,0.0,1123.3418061022112,984.140275,0.0,9658.54009877,5290.25733398,17056.27951385656,0.0
2030-01-02 00:00:00,0.0,0.0,1122.2430330779594,941.83256,0.0,7161.75869221,7495.0,16720.834285289657,0.0
2030-01-02 01:00:00,0.0,0.0,1121.1601622043888,922.63104,0.0,6957.63373157,7495.0,16496.424933774513,0.0
2030-01-02 02:00:00,0.0,0.0,1120.092402512099,939.1928500000001,0.0,6994.73562302,7495.0,16549.020875535873,0.0
