from,to,type,tech,carrier,value
AT-hydro-phs,AT-electricity,capacity,phs,hydro,3800.0
BE-hydro-phs,BE-electricity,capacity,phs,hydro,1300.0
CH-hydro-phs,CH-electricity,capacity,phs,hydro,1900.0
CZ-hydro-phs,CZ-electricity,capacity,phs,hydro,700.0
DE-hydro-phs,DE-electricity,capacity,phs,hydro,6800.0
DK-hydro-phs,DK-electricity,capacity,phs,hydro,0.0
FR-hydro-phs,FR-electricity,capacity,phs,hydro,7000.0
IT-hydro-phs,IT-electricity,capacity,phs,hydro,7600.0
NL-hydro-phs,NL-electricity,capacity,phs,hydro,0.0
NO-hydro-phs,NO-electricity,capacity,phs,hydro,1400.0
PL-hydro-phs,PL-electricity,capacity,phs,hydro,1400.0
SE-hydro-phs,SE-electricity,capacity,phs,hydro,100.0
AT-hydro-ror,AT-electricity,capacity,ror,hydro,5565.690779130001
BE-hydro-ror,BE-electricity,capacity,ror,hydro,9.999999999999988
CH-hydro-ror,CH-electricity,capacity,ror,hydro,385.18667243
CZ-hydro-ror,CZ-electricity,capacity,ror,hydro,150.00000000000003
DE-hydro-ror,DE-electricity,capacity,ror,hydro,3993.597206100001
FR-hydro-ror,FR-electricity,capacity,ror,hydro,10242.7461148
IT-hydro-ror,IT-electricity,capacity,ror,hydro,5720.0
NO-hydro-ror,NO-electricity,capacity,ror,hydro,2210.87258439
PL-hydro-ror,PL-electricity,capacity,ror,hydro,707.8651684999999
SE-hydro-ror,SE-electricity,capacity,ror,hydro,6520.0
AT-hydro-reservoir,AT-electricity,capacity,reservoir,hydro,3734.30922087
BE-hydro-reservoir,BE-electricity,capacity,reservoir,hydro,89.99999999999989
CH-hydro-reservoir,CH-electricity,capacity,reservoir,hydro,9714.813327569998
CZ-hydro-reservoir,CZ-electricity,capacity,reservoir,hydro,1350.0000000000002
DE-hydro-reservoir,DE-electricity,capacity,reservoir,hydro,506.4027939000001
FR-hydro-reservoir,FR-electricity,capacity,reservoir,hydro,8157.253885199998
IT-hydro-reservoir,IT-electricity,capacity,reservoir,hydro,8579.999999999998
NO-hydro-reservoir,NO-electricity,capacity,reservoir,hydro,26889.12741561
PL-hydro-reservoir,PL-electricity,capacity,reservoir,hydro,292.1348315000001
SE-hydro-reservoir,SE-electricity,capacity,reservoir,hydro,9779.999999999998
DE-battery,DE-electricity,capacity,battery,electricity,12500.0
AT-solar-pv,AT-electricity,capacity,pv,solar,3000.0
AT-wind-onshore,AT-electricity,capacity,onshore,wind,4750.0
BE-solar-pv,BE-electricity,capacity,pv,solar,4925.0
BE-wind-onshore,BE-electricity,capacity,onshore,wind,7518.0
CH-solar-pv,CH-electricity,capacity,pv,solar,3692.0
CH-wind-onshore,CH-electricity,capacity,onshore,wind,295.0
CZ-solar-pv,CZ-electricity,capacity,pv,solar,3690.0
CZ-wind-onshore,CZ-electricity,capacity,onshore,wind,880.0
DK-solar-pv,DK-electricity,capacity,pv,solar,1405.0
DK-wind-onshore,DK-electricity,capacity,onshore,wind,12825.0
FR-solar-pv,FR-electricity,capacity,pv,solar,18200.0
FR-wind-onshore,FR-electricity,capacity,onshore,wind,44851.0
IT-solar-pv,IT-electricity,capacity,pv,solar,42169.0
IT-wind-onshore,IT-electricity,capacity,onshore,wind,23459.0
NL-solar-pv,NL-electricity,capacity,pv,solar,9700.0
NL-wind-onshore,NL-electricity,capacity,onshore,wind,9995.0
NO-wind-onshore,NO-electricity,capacity,onshore,wind,2495.0
PL-solar-pv,PL-electricity,capacity,pv,solar,2750.0
PL-wind-onshore,PL-electricity,capacity,onshore,wind,9950.0
SE-solar-pv,SE-electricity,capacity,pv,solar,500.0
SE-wind-onshore,SE-electricity,capacity,onshore,wind,9620.0
DE-coal-chp,DE-electricity,capacity,bp,coal,26.5
DE-gas-chp,DE-electricity,capacity,bp,gas,7225.700000000002
