timeindex,AT-hydro-phs,AT-hydro-reservoir,BE-hydro-phs,BE-hydro-reservoir,CH-hydro-phs,CH-hydro-reservoir,CZ-hydro-phs,CZ-hydro-reservoir,DE-battery,DE-hydro-phs,DE-hydro-reservoir,DK-hydro-phs,DK-hydro-reservoir,FR-hydro-phs,FR-hydro-reservoir,IT-hydro-phs,IT-hydro-reservoir,NL-hydro-phs,NL-hydro-reservoir,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-hydro-reservoir,SE-hydro-phs,SE-hydro-reservoir
2030-01-01 00:00:00,22800.0,2102512.21489,7800.0,0.0,6498.75511705,4919871.68281,4200.0,1011183.6348,10625.0,40800.0,98201.7476493,0.0,0.0,35084.7238193,6859052.36401,41266.0938595,6432772.51942,0.0,0.0,3198.7044428,69790529.7194,5215.81734752,1507895.51912,600.0,27641728.6734
2030-01-01 01:00:00,22800.0,2103055.81501,7800.0,0.0,6498.75511705,4922623.35472,4200.0,1011332.82193,10625.0,40800.0,97994.4682399,0.0,0.0,35084.7238193,6863596.11506,41266.0938595,6432026.81087,0.0,0.0,3198.7044428,69797097.1687,5215.81734752,1507921.72555,600.0,27642176.8296
2030-01-01 02:00:00,22800.0,2103599.40427,7800.0,0.0,6498.75511705,4925376.61066,4200.0,1011482.31805,10625.0,40800.0,98294.1282444,0.0,0.0,35084.7238193,6868145.64582,40862.0387401,6433280.5063,0.0,0.0,3198.7044428,69803817.3679,5215.81734752,1507947.9517,600.0,27644261.8567
2030-01-01 03:00:00,22800.0,2104142.98598,7800.0,0.0,6498.75511705,4928131.55582,4200.0,1011632.12753,10625.0,40800.0,98594.3443566,0.0,0.0,35084.7238193,6872700.941,40862.0387401,6434533.81282,0.0,0.0,3198.7044428,69806948.7862,5215.81734752,1507974.19753,600.0,27646576.8542
2030-01-01 04:00:00,22800.0,2104686.5633,7800.0,0.0,6498.75511705,4930888.29633,4200.0,1011782.25474,10625.0,40800.0,98895.1358154,0.0,0.0,35084.7238193,6877261.9932,40862.0387401,6435786.72838,0.0,0.0,3198.7044428,69813690.4659,5215.81734752,1508000.46304,600.0,27650121.3685
2030-01-01 05:00:00,22800.0,2105230.13923,7800.0,0.0,6498.75511705,4933646.9393,4200.0,1011932.70404,10625.0,40800.0,99196.5216105,0.0,0.0,35084.7238193,6881828.80288,40862.0387401,6437039.25138,0.0,0.0,3198.7044428,69816593.1639,5215.81734752,1508026.74824,600.0,27653209.4764
2030-01-01 06:00:00,22800.0,2105773.71662,7800.0,0.0,6498.75511705,4936407.59276,4200.0,1012083.47977,10625.0,40800.0,99498.5204831,0.0,0.0,35084.7238193,6886401.37837,40862.0387401,6438291.38073,0.0,0.0,3198.7044428,69822975.0146,5215.81734752,1508053.05315,600.0,27652707.2206
2030-01-01 07:00:00,22800.0,2106317.29817,7800.0,0.0,6498.75511705,4939170.36573,4200.0,1012234.58629,10625.0,40800.0,99801.1509251,0.0,0.0,35084.7238193,6890979.73591,40862.0387401,6439543.11576,0.0,0.0,3198.7044428,69829196.5115,5215.81734752,1508079.3778,600.0,27652470.1697
2030-01-01 08:00:00,22800.0,2106860.88644,7800.0,0.0,6498.75511705,4941935.36816,4200.0,1012386.02793,10625.0,40800.0,100104.43118,0.0,0.0,37495.032893,6895563.89961,40862.0387401,6440794.45631,0.0,0.0,3198.7044428,69835076.9727,5215.81734752,1508105.72223,600.0,27656007.9111
2030-01-01 09:00:00,22800.0,2107404.48383,7800.0,0.0,6498.75511705,4944702.71096,4200.0,1012537.80903,10625.0,40800.0,100408.379241,0.0,0.0,37495.032893,6900153.90144,40862.0387401,6442045.40267,0.0,0.0,3198.7044428,69840525.059,5215.81734752,1508132.08651,600.0,27655923.1996
2030-01-01 10:00:00,22800.0,2107948.09258,7800.0,0.0,6498.75511705,4947472.506,4200.0,1012689.93392,10625.0,40800.0,100713.012854,0.0,0.0,37495.032893,6904749.78127,40877.3874723,6443295.9556,0.0,0.0,3198.7044428,69841774.7785,5215.81734752,1508158.47072,600.0,27659152.2526
2030-01-01 11:00:00,22800.0,2108491.71479,7800.0,0.0,6498.75511705,4950244.8661,4200.0,1012842.40692,10625.0,40800.0,101018.349516,0.0,0.0,37495.032893,6909351.58684,41179.4338094,6444546.11633,0.0,0.0,3198.7044428,69846497.4821,5215.81734752,1508184.87494,600.0,27662684.5086
2030-01-01 12:00:00,22800.0,2109035.3524,7800.0,0.0,6498.75511705,4953019.90504,4200.0,1012995.23234,10625.0,40800.0,101324.406473,0.0,0.0,37495.032893,6913959.37379,41665.6529748,6445795.88657,0.0,0.0,3198.7044428,69851163.4267,5215.81734752,1508211.29929,600.0,27661992.0031
2030-01-01 13:00:00,22800.0,2109579.00721,7800.0,0.0,6498.75511705,4955797.73753,4200.0,1013148.4145,10625.0,40800.0,101631.200725,0.0,0.0,37495.032893,6918573.20561,41665.6529748,6447045.26848,0.0,0.0,3198.7044428,69852019.6604,5215.81734752,1508237.74387,600.0,27664841.9856
2030-01-01 14:00:00,22800.0,2110122.68087,7800.0,0.0,6498.75511705,4958578.47927,4200.0,1013301.95769,10625.0,40800.0,101432.346227,0.0,0.0,37495.032893,6923193.15369,41665.6529748,6448294.26471,0.0,0.0,3198.7044428,69856252.3315,5215.81734752,1508264.20883,600.0,27668368.6145
