to,biomass-ce,coal-ccgt-0.0,coal-chp,coal-st,coal-st-0.0,electricity-shortage,gas-ccgt-0.0,gas-chp,gas-gt,gas-ocgt-0.0,gas-st-0.0,hydro-reservoir,hydro-ror,lignite-chp,lignite-st,lignite-st-0.0,oil-chp,oil-ocgt,oil-st-0.0,other-non-res-chp,others-non-res,solar-pv,uranium-st,waste-chp,waste-chp-0.0,wind-offshore,wind-onshore,total_supply,import,export
AT-electricity,7.083333333333297,,,,,0.0,,,5.336518633529281,,,15.312926696693744,22.822698891933985,,,,,0.018375,,,7.37154,3.680322,,,,,11.27788784549998,72.90360240099028,11.47479470781851,-7.749003481062042
BE-electricity,2.425000000000019,,,,,0.0054012261132555,,,17.109720060332027,,,0.3342583985294914,0.037969184741080235,,,,,,,,23.8272,5.2799693749999745,,,,,16.995088307106,66.01460655182184,22.921775981787075,-0.2567400104197537
CH-electricity,0.0,,,,,0.0,,,,,,38.425732600383284,1.523557846862791,,,,,,,,7.37154,4.982154631999983,8.004008,,,,0.5116435867999989,60.81863666604606,12.600826503124393,-15.224498602962962
CZ-electricity,9.7236,,,1.7461222769415403,,0.03481099676254072,,,3.9624206854665975,,,1.5526749692076367,0.17251944102306976,,27.29708842387061,,,,,,,4.406944859999981,13.174002617139289,,,,1.6943127960000017,63.76449706641126,7.567858562959967,-0.6410967453278993
DE-electricity,45.050000000000054,0.6050244520792017,0.06051890221612237,,48.77729839930124,0.19009406812946,108.83047696403985,16.501563462001354,,0.4175989226686309,2.3079241127028074,2.151794669503205,16.969497964351604,0.19206187458022347,,43.747148708123625,0.8456660185143468,,0.15249621440414401,1.4567927442892086,,114.2478645,,0.1904632620688522,15.357511274805796,43.80153084599996,153.5772090285006,615.4305363882802,35.82564148312409,-74.4571942390951
DK-electricity,4.066666666666563,,,2.41439163694132,,0.0004599740106002,,,2.584738417349126,,,0.0,,,,,,0.06866379103706301,,,,1.3607158050000032,,,,,33.32478660727485,43.82042289827953,9.790188593731271,-6.761898964992791
FR-electricity,42.048,,,7.455657539040286,,0.11165477007887599,,,10.89828792254818,,,26.57553583314157,33.369865672261085,,,,,0.06956316291466201,,,40.2084,22.323883399999925,253.10076751134636,,,,96.42359300700288,532.5852088183339,4.145386777029955,-70.19323201486942
IT-electricity,11.825000000000129,,,33.8701366422831,,0.0,,,51.476905956572544,,,27.583356733672808,18.38890448911524,,,,,0.0,,,75.65136,58.6122955219998,,,,,41.5280618490481,318.93602119269167,48.499376412459426,-5.651136299355243
NL-electricity,0.8416666666666829,,,,,3.64989028336e-05,,,21.431920405559467,,,0.0,,,,,,,,,37.82568,10.278013300000017,3.343535766855124,,,,21.397629992920063,95.11848263090418,24.07856191674512,-0.9699019074822245
NO-electricity,,,,,,0.0,,,0.2014319228116342,,,118.20053702354967,9.71866147704899,,,,,,,,,,,,,,5.944193847880011,134.0648242712903,23.506593779117296,-8.05580532143696
PL-electricity,21.408333333333406,,,32.286430341039434,,0.28463448428508853,,,2.188340474009252,,,0.39871296707404225,0.966112189264896,,42.9169110260783,,,,,,73.41756,2.9465095,,,,,20.768228771349968,197.5817730864344,10.822561202721293,-2.2514949961067843
SE-electricity,26.025000000000176,,,,,0.0,,,0.2759265577600873,,,46.98542565807201,31.323617105381164,,,,,0.046476606291667694,,,,0.4065095,49.745573046982315,,,,21.90799670669999,176.71652518118742,1.2008166863390237,-35.30699968849755
